         393551 function calls (382942 primitive calls) in 24.263 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.129    1.129 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\api.py:62(get)
        4    0.000    0.000    0.767    0.192 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connection.py:161(_new_conn)
        4    0.000    0.000    0.767    0.192 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\connection.py:37(create_connection)
       45    0.727    0.016    0.727    0.016 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.668    0.668 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\credentials.py:219(before_request)
        1    0.000    0.000    0.668    0.668 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\credentials.py:200(_blocking_refresh)
        1    0.000    0.000    0.668    0.668 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\service_account.py:427(refresh)
        1    0.000    0.000    0.666    0.666 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\_client.py:274(jwt_grant)
        1    0.000    0.000    0.666    0.666 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\_client.py:220(_token_endpoint_request)
        1    0.000    0.000    0.666    0.666 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\_client.py:136(_token_endpoint_request_no_throw)
        1    0.000    0.000    0.666    0.666 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\transport\requests.py:156(__call__)
        4    0.000    0.000    0.626    0.156 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\ssl_.py:490(_ssl_wrap_socket_impl)
        4    0.000    0.000    0.626    0.156 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:449(wrap_socket)
        4    0.000    0.000    0.626    0.156 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:956(_create)
        4    0.000    0.000    0.625    0.156 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1310(do_handshake)
        4    0.504    0.126    0.504    0.126 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.002    0.002    0.495    0.495 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:202(__init__)
        4    0.494    0.123    0.494    0.123 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        4    0.466    0.117    0.466    0.117 {method 'connect' of '_socket.socket' objects}
        4    0.000    0.000    0.425    0.106 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connection.py:231(request)
        4    0.000    0.000    0.424    0.106 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1316(request)
        4    0.000    0.000    0.424    0.106 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1321(_send_request)
