         1454607 function calls (1304232 primitive calls) in 56.322 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    5.940    2.970 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\engine.py:168(runAndWait)
        2    0.000    0.000    5.940    2.970 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\driver.py:186(runAndWait)
        2    0.000    0.000    5.940    2.970 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\drivers\sapi5.py:120(startLoop)
      8/4    0.000    0.000    5.833    1.458 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\driver.py:108(setBusy)
       11    0.000    0.000    5.833    0.530 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\driver.py:81(_pump)
        2    5.830    2.915    5.830    2.915 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\drivers\sapi5.py:52(say)
    12210    0.111    0.000    5.774    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:29(forward)
 3630/880    0.029    0.000    5.713    0.006 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\container.py:215(forward)
     2007    0.001    0.000    5.211    0.003 C:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:190(<genexpr>)
    16443    0.044    0.000    5.168    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:459(forward)
    16443    0.038    0.000    5.103    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:451(_conv_forward)
    16443    5.065    0.000    5.065    0.000 {built-in method torch.conv2d}
        2    0.000    0.000    3.818    1.909 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\api.py:14(request)
      133    0.002    0.000    3.580    0.027 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\mtcnn.py:226(forward)
      133    0.012    0.000    3.408    0.026 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\mtcnn.py:272(detect)
      133    0.258    0.002    3.387    0.025 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\utils\detect_face.py:25(detect_face)
       94    0.039    0.000    3.007    0.032 C:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:297(detect_faces_dnn)
       37    0.000    0.000    2.851    0.077 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connectionpool.py:1053(_validate_conn)
        4    0.000    0.000    2.850    0.713 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connection.py:361(connect)
       94    2.750    0.029    2.750    0.029 {method 'forward' of 'cv2.dnn.Net' objects}
        1    0.000    0.000    2.654    2.654 C:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:314(send_telegram_message_with_photo)
